POSTING DATE,EFFECTIVE DATE,CREATE DATE,TRANSFER IN EFFECTIVE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,Transfer Type,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,QUANTITY,UNIT,RATE,SO ID,SO Creation Date,SO Due Date,U_DocStatus,NumAtCard,U_SOTYPE,BP CATEGORY,Document Type,TRANSPORTER NAME,U_GRNNO,Loading/Unloading,Detention,U_AssetClass
05-12-2019,05-12-2019,05-12-2019,,10001629,Cart Services Pvt. Ltd. _ Bhiwandi _KDAntariksh Large Site,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001629,Cart Services Pvt. Ltd. - Bhiwandi (KDAntariksh Large Site),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,2500,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-106,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
05-12-2019,05-12-2019,05-12-2019,,10001629,Cart Services Pvt. Ltd. _ Bhiwandi _KDAntariksh Large Site,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001629,Cart Services Pvt. Ltd. - Bhiwandi (KDAntariksh Large Site),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-124,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,390,,Wooden Pallet
06-12-2019,06-12-2019,06-12-2019,,10001155,Cart Services Pvt. Ltd. _ Gurgoan _ Tauru,FMCG,North,RENTAL,Gurgaon,Haryana,10001155,Cart Services Pvt. Ltd. - Gurgoan ( Tauru),HY01,Pallet Company  India Pataudi,Return,Pallet Company IN,5500,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-270,Nos,1950,,,,C,,Return,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,0,0,Wooden Pallet
06-12-2019,06-12-2019,06-12-2019,,10001543,Cart Services Pvt. Ltd. _ Hyderabad _Medchal Flex _ 2182 _ WH,FMCG,South,RENTAL,Hyderabad,Telangana,10001543,Cart Services Pvt. Ltd. - Hyderabad (Medchal Flex - 2182 - WH),TL01,Pallet Company  India Hyderabad,Return,Pallet Company IN,4500,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-200,Nos,1950,,,,C,,Return,Ecommerce,Dehire Received,Sri Vaishnavi Enterprises,,0,,Wooden Pallet
06-12-2019,06-12-2019,06-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000003,-6,Nos,1500,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,2290,,Wooden Pallet
06-12-2019,06-12-2019,06-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-194,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,2290,,Wooden Pallet
06-12-2019,06-12-2019,06-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-184,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,2190,,Wooden Pallet
06-12-2019,06-12-2019,06-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000003,-16,Nos,1500,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,2190,,Wooden Pallet
07-12-2019,07-12-2019,07-12-2019,,10002553,Cart Services Pvt. Ltd. _ Bangalore _Yeshwanthpura,FMCG,South,RENTAL,Bangalore,Karnataka,10002553,Cart Services Pvt. Ltd. - Bangalore (Yeshwanthpura),KA02,Pallet Company  India Bangalore-Hobli,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-150,Nos,1950,,,,C,,Return,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,0,,Wooden Pallet
07-12-2019,02-12-2019,07-12-2019,,10001497,Cart Services Pvt. Ltd. _ Jhajjar _Flex Kulana FC,FMCG,North,RENTAL,Jhajjar,Haryana,10001497,Cart Services Pvt. Ltd. - Jhajjar (Flex Kulana FC),HY01,Pallet Company  India Pataudi,Return,Pallet Company IN,6500,Pallet Company  Transport borne by Pallet Company ,Wooden Pallet,A010000023,-320,Nos,1950,,,,C,,Return,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,0,0,Wooden Pallet
